,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
3340,Mata Roma,Maranhao,city,0,0,0,0,0,0,830,830,1350,270,300,300,8280,26496,8280,28,28,868
3341,Mata Setentrional Pernambucana,Pernambuco,microregion,0,0,0,0,0,0,60,60,23,0,0,0,0,0,0,82750,82750,5614847
3342,Mata Verde,Minas Gerais,city,6,7,7,890,530,530,30,20,26,0,0,0,0,0,0,0,0,0
3343,Mata de Sao Joao,Bahia,city,2,6,6,0,0,0,20,20,22,0,0,0,0,0,0,0,0,0
3344,Mataraca,Paraiba,city,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3900,3900,214500
3345,Mateiros,Tocantins,city,0,0,0,0,0,0,4460,4460,21542,0,0,0,51500,157590,51500,0,0,0
3346,Matelandia,Parana,city,0,0,0,2,1,1,8375,8375,49721,0,0,0,12215,12028,12125,30,30,1530
3347,Materlandia,Minas Gerais,city,0,0,0,0,0,0,275,275,688,0,0,0,0,0,0,45,45,1890
3348,Mateus Leme,Minas Gerais,city,0,0,0,33,22,22,250,250,1800,0,0,0,0,0,0,45,45,1800
3349,Mathias Lobato,Minas Gerais,city,0,0,0,0,0,0,20,20,100,0,0,0,0,0,0,0,0,0
3350,Matias Barbosa,Minas Gerais,city,0,0,0,0,0,0,6,6,42,0,0,0,0,0,0,8,8,560
3351,Matias Cardoso,Minas Gerais,city,0,0,0,100,52,52,800,800,3600,0,0,0,200,648,200,440,440,39600
3352,Matias Olimpio,Piaui,city,0,0,0,0,0,0,375,375,263,558,395,395,0,0,0,0,0,0
3353,Matina,Bahia,city,0,0,0,0,0,0,80,80,24,0,0,0,0,0,0,0,0,0
3354,Matinha,Maranhao,city,0,0,0,0,0,0,290,290,284,90,78,78,0,0,0,0,0,0
3355,Matinhas,Paraiba,city,0,0,0,0,0,0,380,300,300,0,0,0,0,0,0,0,0,0
3356,Matinhos,Parana,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,64
3357,Matipo,Minas Gerais,city,0,0,0,5418,4300,4300,900,900,3240,0,0,0,0,0,0,30,30,990
3358,Mato Castelhano,Rio Grande do Sul,city,0,0,0,0,0,0,600,600,996,15,5,5,11000,13200,11000,0,0,0
3359,Mato Grosso,Mato Grosso,state,471,724,724,9348,11825,11825,6416967,6414777,38331222,347739,108515,108515,10925226,38025387,10924622,227879,229199,17345179
3360,Mato Grosso,Paraiba,city,0,0,0,0,0,0,120,120,96,0,0,0,0,0,0,0,0,0
3361,Mato Grosso do Sul,Mato Grosso do Sul,state,0,0,0,64,176,172,2386159,2379009,12870873,60154,10358,10358,3694468,8538611,3653429,631534,631539,40758940
3362,Mato Leitao,Rio Grande do Sul,city,0,0,0,0,0,0,1000,1000,4000,0,0,0,700,840,700,8,8,280
3363,Mato Queimado,Rio Grande do Sul,city,0,0,0,0,0,0,1230,1230,6985,0,0,0,5970,2610,5820,2,2,8
3364,Mato Rico,Parana,city,0,0,0,0,0,0,2300,2300,12050,16,8,8,13000,28600,13000,0,0,0
3365,Mato Verde,Minas Gerais,city,0,0,0,0,0,0,325,325,332,0,0,0,0,0,0,4,4,128
3366,Matos Costa,Santa Catarina,city,0,0,0,0,0,0,1150,1150,5980,0,0,0,300,957,300,0,0,0
3367,Matozinhos,Minas Gerais,city,0,0,0,0,0,0,140,140,840,0,0,0,500,1800,500,0,0,0
3368,Matrincha,Goias,city,0,0,0,0,0,0,1000,1000,5000,0,0,0,9000,32400,9000,0,0,0
3369,Matriz de Camaragibe,Alagoas,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,451861
3370,Matupa,Mato Grosso,city,0,0,0,4,6,6,35000,35000,203175,8028,2500,2500,56000,184800,56000,10,10,200
3371,Matureia,Paraiba,city,0,0,0,0,0,0,1000,1000,780,0,0,0,0,0,0,0,0,0
3372,Matutina,Minas Gerais,city,0,0,0,447,247,247,40,40,240,0,0,0,0,0,0,0,0,0
3373,Matao,Sao Paulo,city,0,0,0,71,45,45,1300,1300,6880,0,0,0,3300,10560,3300,20000,20000,1500000
3374,Matoes,Maranhao,city,0,0,0,0,0,0,3300,3300,5100,1400,1200,1200,6000,19800,6000,5,5,190
3375,Matoes do Norte,Maranhao,city,0,0,0,0,0,0,397,397,165,560,747,747,0,0,0,0,0,0
3376,Maurilandia,Goias,city,0,0,0,0,0,0,4300,4300,20210,0,0,0,10500,34650,10500,11000,11000,820600
3377,Maurilandia do Tocantins,Tocantins,city,0,0,0,0,0,0,200,200,360,25,10,10,0,0,0,0,0,0
3378,Mauriti,Ceara,city,0,0,0,0,0,0,16560,16560,49018,0,0,0,0,0,0,39,39,1841
3379,Maua,Sao Paulo,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3380,Maua da Serra,Parana,city,0,0,0,0,0,0,950,950,9000,0,0,0,3300,11880,3300,0,0,0
3381,Maues,Amazonas,city,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,16,16,768
3382,Maxaranguape,Rio Grande do Norte,city,0,0,0,0,0,0,50,50,39,0,0,0,0,0,0,60,60,3600
3383,Maximiliano de Almeida,Rio Grande do Sul,city,0,0,0,0,0,0,700,700,2310,0,0,0,7800,11700,7800,35,35,1225
3384,Mazagao,Amapa,microregion,0,0,0,0,0,0,338,336,342,129,125,124,0,0,0,42,42,960
3385,Mazagao,Amapa,city,0,0,0,0,0,0,90,90,88,42,50,50,0,0,0,20,20,452
3386,Macambara,Rio Grande do Sul,city,0,0,0,0,0,0,2743,2743,16407,92167,20110,13618,45333,6582,10220,0,0,0
3387,Medeiros,Minas Gerais,city,0,0,0,4770,3180,3180,3515,3515,26475,0,0,0,6000,21960,6000,600,600,42600
3388,Medeiros Neto,Bahia,city,0,0,0,169,90,90,10,10,17,0,0,0,0,0,0,4000,4000,240000
3389,Medianeira,Parana,city,0,0,0,0,0,0,11920,11920,71520,0,0,0,13700,10138,13700,20,20,1040
3390,Medicilandia,Para,city,51349,44141,44141,29,30,30,2050,2050,6355,30,20,20,0,0,0,0,0,0
